"CO_ANO";"CO_MES";"CO_NCM";"SG_UF_NCM";"VL_FOB"
2024;5;"39259090";"SC";2691
2024;5;"69072300";"SC";2707
2024;4;"20071000";"SC";34
2024;2;"39172300";"SC";571
2024;2;"90184999";"SC";6254
2024;4;"85014019";"SC";1881
2024;4;"84212300";"SC";33
2024;1;"40029910";"SC";26088
2024;5;"21069090";"SC";17
2024;5;"85015110";"SC";37780
2024;4;"84133020";"SC";93
2024;4;"74122000";"SC";4
2024;4;"95030080";"SC";18718
2024;5;"02072700";"SC";103295
2024;4;"61034300";"SC";16859
2024;1;"08071100";"SC";15
2024;5;"84371000";"SC";50000
2024;4;"04089900";"SC";605
2024;3;"84132000";"SC";1579
2024;2;"85163200";"SC";259
2024;1;"85049040";"SC";213
2024;5;"60041032";"SC";34520
2024;5;"94035000";"SC";76626
2024;4;"20019000";"SC";9
2024;2;"44123900";"SC";17880
2024;3;"85015110";"SC";33488
2024;5;"35040019";"SC";43036
2024;3;"02032200";"SC";126
2024;5;"76101000";"SC";10338
2024;1;"85444200";"SC";553
2024;5;"85049040";"SC";338
2024;3;"02109911";"SC";2867386
2024;3;"62034200";"SC";137
2024;4;"39173300";"SC";43634
2024;1;"64041900";"SC";4047
2024;4;"62044400";"SC";12254
2024;1;"59031000";"SC";31525
2024;3;"40092210";"SC";432
2024;2;"61013000";"SC";1271
2024;4;"73269090";"SC";750
2024;3;"21039091";"SC";4
2024;2;"62063000";"SC";87
2024;5;"33069000";"SC";986
2024;4;"61042200";"SC";11001
2024;3;"86079900";"SC";148569
2024;3;"85437099";"SC";7729
2024;2;"84219910";"SC";159
2024;2;"69072100";"SC";25369
2024;5;"39241000";"SC";367807
2024;4;"84771099";"SC";15947
2024;1;"08083000";"SC";40
2024;3;"84813000";"SC";219
2024;3;"32081030";"SC";1
2024;2;"84313900";"SC";4160
2024;1;"84379000";"SC";9568
2024;4;"44071100";"SC";646395
2024;2;"61103000";"SC";49564
2024;5;"44071100";"SC";850687
2024;2;"44101129";"SC";130700
2024;2;"62043300";"SC";116
2024;3;"73182100";"SC";30
2024;2;"44071100";"SC";106256
2024;4;"02109911";"SC";1648093
2024;5;"40169990";"SC";784
2024;3;"73269090";"SC";173
2024;1;"22030000";"SC";458
2024;4;"15121110";"SC";216
2024;2;"44123900";"SC";96394
2024;3;"61045300";"SC";89
2024;4;"15131100";"SC";12
2024;3;"05119999";"SC";189869
2024;1;"44219900";"SC";607013
2024;2;"48051900";"SC";38854
2024;2;"32072099";"SC";16750
2024;5;"61034300";"SC";42
2024;3;"85365090";"SC";16535
2024;3;"48239099";"SC";65
2024;2;"61034200";"SC";80051
2024;2;"32089029";"SC";382
2024;1;"44189900";"SC";106282
2024;5;"62032200";"SC";1179
2024;5;"02071400";"SC";77968
2024;2;"40093100";"SC";99
2024;2;"84818095";"SC";1412
2024;4;"60062100";"SC";51299
2024;4;"02071400";"SC";933949
2024;4;"84099190";"SC";6209
2024;5;"85141900";"SC";1773
2024;5;"62052000";"SC";29254
2024;5;"64029990";"SC";254052
2024;4;"48193000";"SC";452564
2024;1;"38159099";"SC";780
2024;2;"39269090";"SC";1491
2024;4;"34025000";"SC";91
2024;2;"20019000";"SC";16
2024;1;"44091000";"SC";5834863
2024;5;"85044090";"SC";3555
2024;1;"84279000";"SC";13257
2024;5;"85318000";"SC";3790
2024;3;"39235000";"SC";3657
2024;3;"84136011";"SC";16440
2024;1;"07109000";"SC";81
2024;4;"73083000";"SC";24395
2024;3;"10059010";"SC";5073
2024;4;"02101200";"SC";301
2024;1;"61061000";"SC";14365
2024;3;"85365090";"SC";3902
2024;2;"85044050";"SC";4064
2024;1;"04032000";"SC";39
2024;2;"21039029";"SC";2123
2024;1;"05040090";"SC";44610
2024;4;"40169990";"SC";300
2024;4;"73063000";"SC";175626
2024;5;"02032900";"SC";10048634
2024;5;"56031420";"SC";13006
2024;2;"48042100";"SC";237229
2024;3;"61083100";"SC";10393
2024;1;"04039000";"SC";5
2024;2;"96039000";"SC";68790
2024;5;"65050090";"SC";248
2024;3;"61042200";"SC";157
2024;3;"33059000";"SC";461
2024;2;"02071400";"SC";4283
2024;1;"84213990";"SC";1366
2024;4;"61083100";"SC";53
2024;5;"95082900";"SC";24437
2024;3;"19059090";"SC";289
2024;3;"72112300";"SC";296220
2024;4;"84136011";"SC";200
2024;4;"62121000";"SC";7884
2024;5;"61083200";"SC";12
2024;5;"49111090";"SC";3
2024;5;"39269090";"SC";2592
2024;3;"84818099";"SC";2264
2024;5;"10063011";"SC";125
2024;3;"39269090";"SC";16
2024;2;"34025000";"SC";70
2024;3;"62044400";"SC";1978
2024;5;"69051000";"SC";3744
2024;3;"95059000";"SC";36
2024;5;"63023900";"SC";1073
2024;1;"25199090";"SC";1290
2024;4;"21011110";"SC";223
2024;5;"90183929";"SC";37
2024;4;"65050011";"SC";2374
2024;2;"02071400";"SC";1529982
2024;4;"72149910";"SC";80
2024;4;"38099141";"SC";1530
2024;4;"70159020";"SC";509
2024;5;"85014019";"SC";4901
2024;5;"62052000";"SC";2144
2024;3;"84879000";"SC";9
2024;3;"96034090";"SC";18
2024;2;"85015210";"SC";20020
2024;2;"76161000";"SC";2321
2024;2;"07049000";"SC";21
2024;5;"85043111";"SC";1304
2024;2;"20041000";"SC";18
2024;3;"07069000";"SC";102
2024;3;"61042300";"SC";13896
2024;2;"02031900";"SC";24
2024;2;"94039100";"SC";47801
2024;2;"48201000";"SC";72
2024;4;"61044400";"SC";14053
2024;1;"03038990";"SC";60
2024;5;"49111090";"SC";0
2024;3;"16023210";"SC";353888
2024;4;"23099090";"SC";101520
2024;3;"84818094";"SC";145883
2024;2;"32081010";"SC";1814
2024;3;"85168010";"SC";6132
2024;3;"85014019";"SC";1055
2024;5;"21069029";"SC";46239
2024;5;"96039000";"SC";145454
2024;1;"07099200";"SC";18
2024;2;"08039000";"SC";218427
2024;5;"69072100";"SC";13051
2024;2;"04039000";"SC";14
2024;4;"96033000";"SC";697
2024;4;"03038910";"SC";217044
2024;4;"84139190";"SC";25892
2024;4;"37013022";"SC";3969
2024;5;"02071400";"SC";6256152
2024;3;"35040019";"SC";58700
2024;2;"85014019";"SC";16611
2024;1;"84254200";"SC";11866
2024;3;"73079100";"SC";261
2024;1;"94035000";"SC";38940
2024;1;"73181600";"SC";20612
2024;2;"82021000";"SC";110
2024;4;"39269021";"SC";405
2024;4;"62114300";"SC";4886
2024;3;"44111399";"SC";3799
2024;4;"62023000";"SC";211
2024;5;"48189090";"SC";22687
2024;3;"23011010";"SC";234384
2024;3;"65061000";"SC";3862
2024;2;"69072200";"SC";54
2024;1;"16010000";"SC";79
2024;5;"85359090";"SC";66
2024;5;"61045300";"SC";147
2024;5;"61142000";"SC";3582
2024;1;"39269090";"SC";6222
2024;2;"84842000";"SC";764
2024;2;"84806000";"SC";68420
2024;2;"19021100";"SC";17
2024;1;"61022000";"SC";45
2024;3;"39081025";"SC";21494
2024;2;"73199000";"SC";52
2024;2;"52053100";"SC";135
2024;3;"04069030";"SC";54
2024;3;"15092000";"SC";35
2024;2;"39263000";"SC";76
2024;3;"87141000";"SC";80
2024;2;"04072100";"SC";1241
2024;3;"19021100";"SC";27
2024;2;"84385000";"SC";53800
2024;4;"02071400";"SC";212650
2024;3;"90303990";"SC";8413
2024;1;"73182400";"SC";21
2024;3;"39191090";"SC";312
2024;2;"04022110";"SC";63
2024;3;"85015110";"SC";4397
2024;3;"44072300";"SC";164558
2024;4;"48081000";"SC";50103
2024;4;"61113000";"SC";1728
